2
mFP: 29.84
mT5D: 55.55
       Corruption        FP       T5D
0      brightness  0.010643  0.573797
1  gaussian_noise  0.059057  2.514263
2     motion_blur  0.020111  0.937986
3          rotate  0.024635  1.309252
4           scale  0.038429  1.862641
5      shot_noise  0.073772  2.946111
6            snow  0.025731  1.163211
7            tilt  0.016414  0.969370
8       translate  0.015977  0.924612
9       zoom_blur  0.018950  0.800645
