2
mFP: 41.36
mT5D: 84.06
       Corruption        FP       T5D
0      brightness  0.017669  0.998877
1  gaussian_noise  0.074129  4.755240
2     motion_blur  0.025195  1.154356
3          rotate  0.037811  1.820509
4           scale  0.056819  2.368373
5      shot_noise  0.077341  4.411354
6            snow  0.029207  1.838107
7            tilt  0.024881  1.326913
8       translate  0.030141  1.575845
9       zoom_blur  0.024681  1.184241
