,Corruption,FP,T5D
0,brightness,0.022560666666664654,0.7911379999999609
1,gaussian_noise,0.09676400000000474,2.983723999999951
2,motion_blur,0.027883999999999347,0.977542666666646
3,rotate,0.042346666666666866,1.5067139999999588
4,scale,0.07948800000000393,2.2689673333333054
5,shot_noise,0.1136213333333395,3.3872826666666573
6,snow,0.04447999999999904,1.285416666666636
7,tilt,0.02564199999999952,0.9901326666666311
8,translate,0.029641500000000428,1.1315624999999776
9,zoom_blur,0.03255399999999759,0.9699373333332895
