,Corruption,FP,T5D
0,brightness,0.019813999999999117,0.7481219999999554
1,gaussian_noise,0.09867133333333789,3.2471339999999844
2,motion_blur,0.03327333333333232,1.080465999999949
3,rotate,0.04328133333333345,1.556752666666633
4,scale,0.08718600000000329,2.4912673333333033
5,shot_noise,0.1233433333333415,3.803740666666657
6,snow,0.04243266666666567,1.2557026666666418
7,tilt,0.025810666666666208,0.9937399999999694
8,translate,0.031735500000000624,1.2619619999999874
9,zoom_blur,0.029823333333328587,0.8945806666666265
