2
mFP: 88.95
mT5D: 94.84
       Corruption        FP       T5D
0      brightness  0.036961  1.119317
1  gaussian_noise  0.118459  3.278083
2     motion_blur  0.059100  1.589187
3          rotate  0.086973  2.481681
4           scale  0.143379  3.452711
5      shot_noise  0.139984  3.754463
6            snow  0.073515  1.881729
7            tilt  0.052811  1.639139
8       translate  0.069391  2.136267
9       zoom_blur  0.049945  1.342883
