2
mFP: 34.02
mT5D: 78.54
       Corruption        FP       T5D
0      brightness  0.013213  0.993730
1  gaussian_noise  0.057281  2.910169
2     motion_blur  0.021980  1.187175
3          rotate  0.032061  1.982574
4           scale  0.054709  2.546055
5      shot_noise  0.064081  3.216683
6            snow  0.023971  1.831021
7            tilt  0.019134  1.329585
8       translate  0.024333  1.580903
9       zoom_blur  0.020615  1.169944
