,Corruption,FP,T5D
0,brightness,0.015619333333333362,0.8896586666666286
1,gaussian_noise,0.08001466666666929,3.4686193333332724
2,motion_blur,0.02937533333333246,1.2988479999999532
3,rotate,0.035756666666666645,1.8192899999999694
4,scale,0.05992600000000434,2.46289866666662
5,shot_noise,0.08539333333333587,3.6549433333332755
6,snow,0.03842733333333286,2.0044626666666416
7,tilt,0.023051999999999927,1.28760066666662
8,translate,0.024329000000000343,1.3344999999999934
9,zoom_blur,0.025618666666664056,1.1028893333333039
