,Corruption,FP,T5D
0,brightness,0.017541333333332944,0.6565193333332972
1,gaussian_noise,0.08031733333333534,2.6110873333332965
2,motion_blur,0.0312319999999989,0.9943859999999699
3,rotate,0.04062999999999999,1.4632326666666298
4,scale,0.08044333333333653,2.3019946666666233
5,shot_noise,0.09385000000000364,2.938245999999994
6,snow,0.035669333333332574,1.1301413333333026
7,tilt,0.025942666666666312,0.9854386666666374
8,translate,0.0321495000000006,1.2029754999999709
9,zoom_blur,0.02822666666666321,0.8764873333332986
